ID_ESTADO,ID_DISTRITO_LOCAL,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
23,8,MAS,LEANDRO FRANCISCO VILLANUEVA MUÑOZ,NALLELI HERRERA BRAVO
23,8,CQROO,CARLOS ORTIZ VELAZQUEZ,VELINA ODETTE VILLAFAÑA RODRIGUEZ
23,9,PRI,YENNY DEL CARMEN LOPEZ LANDERO,JACQUELINE GUADALUPE ALCOCER DZIB
23,9,MC,NERY YOLANDA MEDINA RAMIREZ,RAQUEL AURENY SOLIS ARGAEZ
23,9,C_PAN_PRD_PESQROO,LUIS FERNANDO ROLDAN CARRILLO,RUBEN DARIO RODRIGUEZ GARCIA
23,9,C_PAN_PRD,LUIS FERNANDO ROLDAN CARRILLO,RUBEN DARIO RODRIGUEZ GARCIA
23,9,C_PAN_PESQROO,LUIS FERNANDO ROLDAN CARRILLO,RUBEN DARIO RODRIGUEZ GARCIA
23,9,C_PRD_PESQROO,LUIS FERNANDO ROLDAN CARRILLO,RUBEN DARIO RODRIGUEZ GARCIA
23,9,PAN,LUIS FERNANDO ROLDAN CARRILLO,RUBEN DARIO RODRIGUEZ GARCIA
23,9,PRD,LUIS FERNANDO ROLDAN CARRILLO,RUBEN DARIO RODRIGUEZ GARCIA
23,9,PESQROO,LUIS FERNANDO ROLDAN CARRILLO,RUBEN DARIO RODRIGUEZ GARCIA
23,9,C_PVEM_PT_MORENA,EUTERPE ALICIA GUTIERREZ VALASIS,MONICA DE LA CRUZ BARGAS CAPORALI
23,9,C_PT_MORENA,EUTERPE ALICIA GUTIERREZ VALASIS,MONICA DE LA CRUZ BARGAS CAPORALI
23,9,C_PVEM_MORENA,EUTERPE ALICIA GUTIERREZ VALASIS,MONICA DE LA CRUZ BARGAS CAPORALI
23,9,C_PVEM_PT,EUTERPE ALICIA GUTIERREZ VALASIS,MONICA DE LA CRUZ BARGAS CAPORALI
23,9,MORENA,EUTERPE ALICIA GUTIERREZ VALASIS,MONICA DE LA CRUZ BARGAS CAPORALI
23,9,PT,EUTERPE ALICIA GUTIERREZ VALASIS,MONICA DE LA CRUZ BARGAS CAPORALI
23,9,PVEM,EUTERPE ALICIA GUTIERREZ VALASIS,MONICA DE LA CRUZ BARGAS CAPORALI
23,9,MAS,ISMAEL SAUCEDA HERNANDEZ,ERNESTO CUXIM CHE
23,9,CQROO,JANET GUADALUPE NOVELO SOSA,SANDY GABRIELA CASTILLO ESCAMILLA
23,10,PRI,BERNALDA DE LA CRUZ CORDOVA,MA. DEL CARMEN MACIEL ACOSTA
23,10,MC,JOSE LUIS TOLEDO MEDINA,ADRIAN ARMANDO PEREZ VERA
23,10,C_PAN_PRD_PESQROO,ROXANA LILI CAMPOS MIRANDA,KIRA IRIS SAN
23,10,C_PAN_PRD,ROXANA LILI CAMPOS MIRANDA,KIRA IRIS SAN
23,10,C_PAN_PESQROO,ROXANA LILI CAMPOS MIRANDA,KIRA IRIS SAN
23,10,C_PRD_PESQROO,ROXANA LILI CAMPOS MIRANDA,KIRA IRIS SAN
23,10,PAN,ROXANA LILI CAMPOS MIRANDA,KIRA IRIS SAN
23,10,PRD,ROXANA LILI CAMPOS MIRANDA,KIRA IRIS SAN
23,10,PESQROO,ROXANA LILI CAMPOS MIRANDA,KIRA IRIS SAN
23,10,C_PVEM_PT_MORENA,JUAN CARLOS BERISTAIN NAVARRETE,RENE ARTURO BAYARDO MEDRANO RIOS DOMENZAIN
23,10,C_PT_MORENA,JUAN CARLOS BERISTAIN NAVARRETE,RENE ARTURO BAYARDO MEDRANO RIOS DOMENZAIN
23,10,C_PVEM_MORENA,JUAN CARLOS BERISTAIN NAVARRETE,RENE ARTURO BAYARDO MEDRANO RIOS DOMENZAIN
23,10,C_PVEM_PT,JUAN CARLOS BERISTAIN NAVARRETE,RENE ARTURO BAYARDO MEDRANO RIOS DOMENZAIN
23,10,MORENA,JUAN CARLOS BERISTAIN NAVARRETE,RENE ARTURO BAYARDO MEDRANO RIOS DOMENZAIN
23,10,PT,JUAN CARLOS BERISTAIN NAVARRETE,RENE ARTURO BAYARDO MEDRANO RIOS DOMENZAIN
23,10,PVEM,JUAN CARLOS BERISTAIN NAVARRETE,RENE ARTURO BAYARDO MEDRANO RIOS DOMENZAIN
23,10,MAS,LAURA ELENA CORRALES NAVARRETE,MARIBEL KANTUN CARRANZA
23,10,CQROO,LEONEL CASTILLO PRESENDA,
23,11,CAND_IND_1,FRANCISCO JAVIER AGUIRRE CRUZ,JOSE MANUEL ANCONA REJON
23,11,PRI,CARLOS RAFAEL HERNANDEZ BLANCO,SULMAR ALEJANDRO QUEB FRANCO
23,11,MC,CARLOS ADRIAN TORRES ALVARADO,JAVIER FERNANDO MARRUFO BRICE„O
23,11,C_PAN_PRD_PESQROO,JESUS ALBERTO ZETINA TEJERO,JACINTO CHE ORDOÑEZ
23,11,C_PAN_PRD,JESUS ALBERTO ZETINA TEJERO,JACINTO CHE ORDOÑEZ
23,11,C_PAN_PESQROO,JESUS ALBERTO ZETINA TEJERO,JACINTO CHE ORDOÑEZ
23,11,C_PRD_PESQROO,JESUS ALBERTO ZETINA TEJERO,JACINTO CHE ORDOÑEZ
23,11,PAN,JESUS ALBERTO ZETINA TEJERO,JACINTO CHE ORDOÑEZ
23,11,PRD,JESUS ALBERTO ZETINA TEJERO,JACINTO CHE ORDOÑEZ
23,11,PESQROO,JESUS ALBERTO ZETINA TEJERO,JACINTO CHE ORDOÑEZ
23,11,C_PVEM_PT_MORENA,ANGELA DEL SOCORRO CARRILLO CHULIN,MARIA GUADALUPE SANCHEZ MARTINEZ
23,11,C_PT_MORENA,ANGELA DEL SOCORRO CARRILLO CHULIN,MARIA GUADALUPE SANCHEZ MARTINEZ
23,11,C_PVEM_MORENA,ANGELA DEL SOCORRO CARRILLO CHULIN,MARIA GUADALUPE SANCHEZ MARTINEZ
23,11,C_PVEM_PT,ANGELA DEL SOCORRO CARRILLO CHULIN,MARIA GUADALUPE SANCHEZ MARTINEZ
23,11,MORENA,ANGELA DEL SOCORRO CARRILLO CHULIN,MARIA GUADALUPE SANCHEZ MARTINEZ
23,11,PT,ANGELA DEL SOCORRO CARRILLO CHULIN,MARIA GUADALUPE SANCHEZ MARTINEZ
23,11,PVEM,ANGELA DEL SOCORRO CARRILLO CHULIN,MARIA GUADALUPE SANCHEZ MARTINEZ
23,11,MAS,GLORIA MARIA CANTO MAY,LIDIA ISABEL DZIB RAMIREZ
23,11,CQROO,SHEILA CAROLINA VERA ANGULO,SHEYLA GUADALUPE CATZIN AKE
23,12,PRI,BRENDA VERONICA HAU UEX,CORAIMA AMAIRANI CAAMAL CHAN
23,12,MC,SAMUEL CHAN TUN,CRUZ CENTENO HIDALGO
23,12,C_PAN_PRD_PESQROO,PEDRO ENRIQUE PEREZ DIAZ,ISMAEL CAAMAL ANGULO
23,12,C_PAN_PRD,PEDRO ENRIQUE PEREZ DIAZ,ISMAEL CAAMAL ANGULO
23,12,C_PAN_PESQROO,PEDRO ENRIQUE PEREZ DIAZ,ISMAEL CAAMAL ANGULO
23,12,C_PRD_PESQROO,PEDRO ENRIQUE PEREZ DIAZ,ISMAEL CAAMAL ANGULO
23,12,PAN,PEDRO ENRIQUE PEREZ DIAZ,ISMAEL CAAMAL ANGULO
23,12,PRD,PEDRO ENRIQUE PEREZ DIAZ,ISMAEL CAAMAL ANGULO
23,12,PESQROO,PEDRO ENRIQUE PEREZ DIAZ,ISMAEL CAAMAL ANGULO
23,12,C_PVEM_PT_MORENA,MARIA ANTONIETA AGUILAR RIOS,VERONICA ELIZABETH VEGA CHOC
23,12,C_PT_MORENA,MARIA ANTONIETA AGUILAR RIOS,VERONICA ELIZABETH VEGA CHOC
23,12,C_PVEM_MORENA,MARIA ANTONIETA AGUILAR RIOS,VERONICA ELIZABETH VEGA CHOC
23,12,C_PVEM_PT,MARIA ANTONIETA AGUILAR RIOS,VERONICA ELIZABETH VEGA CHOC
23,12,MORENA,MARIA ANTONIETA AGUILAR RIOS,VERONICA ELIZABETH VEGA CHOC
23,12,PT,MARIA ANTONIETA AGUILAR RIOS,VERONICA ELIZABETH VEGA CHOC
23,12,PVEM,MARIA ANTONIETA AGUILAR RIOS,VERONICA ELIZABETH VEGA CHOC
23,12,MAS,KARLA FABIOLA HERRERA VILLALOBOS,MARIA TERESA HERNANDEZ PREN
23,12,CQROO,ALFREDO CAAMAL HUCHIN,ADRIANA CORTEZ MENDOZA
23,13,PRI,LUIS ERNESTO SILVEIRA GOMEZ,PABLO SANTOS CARDENAS
23,13,MC,MANUEL DE JESUS CIAU NAHUAT,MARIO EDUARDO TORRES PEREZ
23,13,C_PAN_PRD_PESQROO,ROCIO NOEMI GONZALEZ CASTRO,ALBINA HERNANDEZ HERNANDEZ
23,13,C_PAN_PRD,ROCIO NOEMI GONZALEZ CASTRO,ALBINA HERNANDEZ HERNANDEZ
23,13,C_PAN_PESQROO,ROCIO NOEMI GONZALEZ CASTRO,ALBINA HERNANDEZ HERNANDEZ
23,13,C_PRD_PESQROO,ROCIO NOEMI GONZALEZ CASTRO,ALBINA HERNANDEZ HERNANDEZ
23,13,PAN,ROCIO NOEMI GONZALEZ CASTRO,ALBINA HERNANDEZ HERNANDEZ
23,13,PRD,ROCIO NOEMI GONZALEZ CASTRO,ALBINA HERNANDEZ HERNANDEZ
23,13,PESQROO,ROCIO NOEMI GONZALEZ CASTRO,ALBINA HERNANDEZ HERNANDEZ
23,13,C_PVEM_PT_MORENA,ANA ELLAMIN PAMPLONA RAMIREZ,YADIRA GARCIA PERDOMO
23,13,C_PT_MORENA,ANA ELLAMIN PAMPLONA RAMIREZ,YADIRA GARCIA PERDOMO
23,13,C_PVEM_MORENA,ANA ELLAMIN PAMPLONA RAMIREZ,YADIRA GARCIA PERDOMO
23,13,C_PVEM_PT,ANA ELLAMIN PAMPLONA RAMIREZ,YADIRA GARCIA PERDOMO
23,13,MORENA,ANA ELLAMIN PAMPLONA RAMIREZ,YADIRA GARCIA PERDOMO
23,13,PT,ANA ELLAMIN PAMPLONA RAMIREZ,YADIRA GARCIA PERDOMO
23,13,PVEM,ANA ELLAMIN PAMPLONA RAMIREZ,YADIRA GARCIA PERDOMO
23,13,MAS,ANGELICA RODRIGUEZ PEREZ,MARIA ELENA CARRILLO ESCOBAR
23,13,CQROO,NELIA GUADALUPE UC SOSA,MARIA ELIZABETH CAN FALCON
23,14,CAND_IND_2,JORGE LUIS OVANDO MARTINEZ,FRANCISCO JESUS RIVERA AGUILAR
23,14,PRI,MIGUEL ADAN MARTINEZ CABRERA,WIXILIWI DE ASUNCION MORA PEDRAZA
23,14,MC,ELY ESBELLE SALAZAR SEPULVEDA,ISAURA SHAREYNE AGUILAR CALCANEO
23,14,C_PAN_PRD_PESQROO,FERNANDO LEVIN ZELAYA ESPINOZA,DEMETRIO PARRILLA RAMIREZ
23,14,C_PAN_PRD,FERNANDO LEVIN ZELAYA ESPINOZA,DEMETRIO PARRILLA RAMIREZ
23,14,C_PAN_PESQROO,FERNANDO LEVIN ZELAYA ESPINOZA,DEMETRIO PARRILLA RAMIREZ
23,14,C_PRD_PESQROO,FERNANDO LEVIN ZELAYA ESPINOZA,DEMETRIO PARRILLA RAMIREZ
23,14,PAN,FERNANDO LEVIN ZELAYA ESPINOZA,DEMETRIO PARRILLA RAMIREZ
23,14,PRD,FERNANDO LEVIN ZELAYA ESPINOZA,DEMETRIO PARRILLA RAMIREZ
23,14,PESQROO,FERNANDO LEVIN ZELAYA ESPINOZA,DEMETRIO PARRILLA RAMIREZ
23,14,C_PVEM_PT_MORENA,LINDA SARAY COBOS CASTRO,MA DEL CARMEN SANCHEZ JAIME
23,14,C_PT_MORENA,LINDA SARAY COBOS CASTRO,MA DEL CARMEN SANCHEZ JAIME
23,14,C_PVEM_MORENA,LINDA SARAY COBOS CASTRO,MA DEL CARMEN SANCHEZ JAIME
23,14,C_PVEM_PT,LINDA SARAY COBOS CASTRO,MA DEL CARMEN SANCHEZ JAIME
23,14,MORENA,LINDA SARAY COBOS CASTRO,MA DEL CARMEN SANCHEZ JAIME
23,14,PT,LINDA SARAY COBOS CASTRO,MA DEL CARMEN SANCHEZ JAIME
23,14,PVEM,LINDA SARAY COBOS CASTRO,MA DEL CARMEN SANCHEZ JAIME
23,14,MAS,ARIADNE SONG ANGUAS,IRENE ESQUILIANO GONZALEZ
23,14,CQROO,REINA ARACELY AYALA JAVIER,ELSY PATRICIA MONTALVO AYALA
23,15,CAND_IND_3,JOAQUIN ISMAEL NOH MAYO,MARIO ANTONIO CHAN CHULIM
23,15,PRI,ROLANDO JESUS RODRIGUEZ HERRERA,ALEJANDRO FUENTES SANCHEZ DE LA VEGA
23,15,MC,ARELI CAMARGO CHAVEZ,WENDY ULLOA MORENO
23,15,C_PAN_PRD_PESQROO,CLAUDETTE YANELL GONZALEZ ARELLANO,MERCEDES GUADALUPE RODRIGUEZ OCEJO
23,15,C_PAN_PRD,CLAUDETTE YANELL GONZALEZ ARELLANO,MERCEDES GUADALUPE RODRIGUEZ OCEJO
23,15,C_PAN_PESQROO,CLAUDETTE YANELL GONZALEZ ARELLANO,MERCEDES GUADALUPE RODRIGUEZ OCEJO
23,15,C_PRD_PESQROO,CLAUDETTE YANELL GONZALEZ ARELLANO,MERCEDES GUADALUPE RODRIGUEZ OCEJO
23,15,PAN,CLAUDETTE YANELL GONZALEZ ARELLANO,MERCEDES GUADALUPE RODRIGUEZ OCEJO
23,15,PRD,CLAUDETTE YANELL GONZALEZ ARELLANO,MERCEDES GUADALUPE RODRIGUEZ OCEJO
23,15,PESQROO,CLAUDETTE YANELL GONZALEZ ARELLANO,MERCEDES GUADALUPE RODRIGUEZ OCEJO
23,15,C_PVEM_PT_MORENA,ROBERTO ERALES JIMENEZ,JONATHAN YMAZ ZUÑIGA
23,15,C_PT_MORENA,ROBERTO ERALES JIMENEZ,JONATHAN YMAZ ZUÑIGA
23,15,C_PVEM_MORENA,ROBERTO ERALES JIMENEZ,JONATHAN YMAZ ZUÑIGA
23,15,C_PVEM_PT,ROBERTO ERALES JIMENEZ,JONATHAN YMAZ ZUÑIGA
23,15,MORENA,ROBERTO ERALES JIMENEZ,JONATHAN YMAZ ZUÑIGA
23,15,PT,ROBERTO ERALES JIMENEZ,JONATHAN YMAZ ZUÑIGA
23,15,PVEM,ROBERTO ERALES JIMENEZ,JONATHAN YMAZ ZUÑIGA
23,15,MAS,HECTOR HERNAN PEREZ RIVERO,JACOBO SANTIAGO HADAD VARGAS
23,15,CQROO,ABRIL CRISTINA SABIDO ALCERRECA,MARIA ELENA DELGADO AYUSO
